query_id,group,row_count,hit_count,selectivity
228,x6x8,500000,3685,0.00737
229,x6x8,500000,4762,0.009524
230,x6x8,500000,2051,0.004102
231,x6x8,500000,10386,0.020772
232,x6x8,500000,1222,0.002444
233,x6x8,500000,2583,0.005166
234,x6x8,500000,7355,0.01471
235,x6x8,500000,4915,0.00983
236,x6x8,500000,1736,0.003472
237,x6x8,500000,19319,0.038638
238,x6x8,500000,2314,0.004628
239,x6x8,500000,51,0.000102
240,x6x8,500000,163,0.000326
241,x6x8,500000,13794,0.027588
242,x6x8,500000,824,0.001648
243,x6x8,500000,1047,0.002094
244,x6x8,500000,3140,0.00628
245,x6x8,500000,964,0.001928
246,x6x8,500000,3230,0.00646
247,x6x8,500000,1048,0.002096
248,x6x8,500000,1099,0.002198
249,x6x8,500000,4266,0.008532
250,x6x8,500000,15520,0.03104
251,x6x8,500000,3381,0.006762
252,x6x8,500000,1578,0.003156
253,x6x8,500000,595,0.00119
254,x6x8,500000,22,4.4e-05
255,x6x8,500000,419,0.000838
256,x6x8,500000,10072,0.020144
257,x6x8,500000,461,0.000922
258,x6x8,500000,744,0.001488
259,x6x8,500000,5539,0.011078
260,x6x8,500000,12667,0.025334
261,x6x8,500000,3520,0.00704
262,x6x8,500000,5256,0.010512
263,x6x8,500000,581,0.001162
264,x6x8,500000,963,0.001926
265,x6x8,500000,116,0.000232
266,x6x8,500000,4031,0.008062
267,x6x8,500000,45,9e-05
268,x6x8,500000,8143,0.016286
269,x6x8,500000,15,3e-05
270,x6x8,500000,1581,0.003162
271,x6x8,500000,7530,0.01506
272,x6x8,500000,12536,0.025072
273,x6x8,500000,21,4.2e-05
274,x6x8,500000,5747,0.011494
275,x6x8,500000,10585,0.02117
